epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3954,0,0,0,183.957,0,0.91763,1,0.94986,0.31818,0.03834,0.04167,0.00472,0.00079,2.46738,8.26288,0.12457,0.88867,3.31082,4e-05,4e-05,4e-05
2,34.7855,0,0,0,108.979,0,0.66608,0.70833,0.7031,0.23633,0.04386,0.04167,0.00314,0.00094,2.46144,8.25121,0.15544,1.17499,3.46007,9.802e-05,9.802e-05,9.802e-05
3,53.1115,0,0,0,17.3273,0,0.43454,0.45833,0.39973,0.12792,0.01223,0.04167,0.00143,0.00029,2.48977,8.25643,0.20863,1.95493,3.56368,0.000153664,0.000153664,0.000153664
4,66.7083,0,0,0,4.88238,0,0.13332,0.08333,0.04928,0.01939,0.00024,0.04167,0.00034,3e-05,2.50851,8.41903,0.42139,3.57102,3.17808,0.000206932,0.000206932,0.000206932
5,79.8866,0,0,0,1.40278,0,0.00406,0.70833,0.00621,0.00141,0.00024,0.04167,0.00017,2e-05,2.61603,8.46867,0.52078,3.86081,3.00842,0.000257824,0.000257824,0.000257824
6,93.1238,0,0,0,0.95698,0,0.00445,0.75,0.007,0.00145,0.00049,0.08333,0.00043,6e-05,2.79241,8.63051,0.63319,3.83349,2.92825,0.00030634,0.00030634,0.00030634
7,106.159,0,0,0,0.54516,0,0.00529,0.625,0.00796,0.00134,0,0,0,0,2.83965,8.74482,0.68365,4.04792,2.95229,0.00035248,0.00035248,0.00035248
8,119.692,0,0,0,0.33074,0,0.00791,0.41667,0.00897,0.00193,0.00079,0.04167,0.00042,4e-05,2.93534,8.81484,0.72053,4.48033,3.05926,0.000396244,0.000396244,0.000396244
9,133.428,0,0,0,0.23825,0,0.0123,0.25,0.01239,0.00203,0,0,0,0,2.98834,8.99248,0.74642,4.92151,3.08946,0.000437632,0.000437632,0.000437632
10,146.89,0,0,0,0.16725,0,0.0101,0.08333,0.0064,0.00163,0,0,0,0,3.11804,9.14781,0.81502,5.1623,3.1625,0.000476644,0.000476644,0.000476644
11,160.161,0,0,0,0.12809,0,0.00935,0.04167,0.00527,0.00316,0,0,0,0,3.36149,9.16293,0.86424,5.59177,3.35669,0.00051328,0.00051328,0.00051328
12,173.34,0,0,0,0.09914,0,0.02128,0.04167,0.0112,0.0056,0,0,0,0,3.50947,9.203,0.94263,6.04796,3.3711,0.00054754,0.00054754,0.00054754
13,186.847,0,0,0,0.08542,0,0,0,0,0,0,0,0,0,3.33406,9.32853,1.07906,6.88395,3.39579,0.000579424,0.000579424,0.000579424
14,200.067,0,0,0,0.07539,0,0,0,0,0,0,0,0,0,3.34952,9.41969,1.24599,7.36876,3.35457,0.000608932,0.000608932,0.000608932
